"","Day","Trajectory","Flow","Treatment","Tank..","Coral","F0","Fm","Yield"
"117",4,"Control","Low","Control Low","1","F..3",0.14656,0.39608,0.6292
"118",4,"Control","Low","Control Low","2","F..1",0.14784,0.36334,0.5932
"119",4,"Control","Low","Control Low","2","F..2",0.15648,0.41196,0.6194
"120",4,"Control","Low","Control Low","2","F..3",0.15284,0.39724,0.6146
"121",4,"Protective","High","Protective High","1","F..1",0.15334,0.41598,0.6302
"122",4,"Protective","High","Protective High","1","F..2",0.13796,0.35874,0.6118
"123",4,"Protective","High","Protective High","1","F..3",0.14676,0.38812,0.6216
"124",4,"Protective","High","Protective High","2","F..1",0.16866,0.36442,0.5382
"125",4,"Protective","High","Protective High","2","F..2",0.14902,0.36786,0.5946
"126",4,"Protective","High","Protective High","2","F..3",0.15276,0.3895,0.6068
"127",4,"Protective","Low","Protective Low","1","F..1",0.15636,0.41452,0.6222
"128",4,"Protective","Low","Protective Low","1","F..2",0.16148,0.44168,0.6332
"129",4,"Protective","Low","Protective Low","1","F..3",0.1752,0.33668,0.4704
"130",4,"Protective","Low","Protective Low","2","F..1",0.14242,0.34812,0.5886
"131",4,"Protective","Low","Protective Low","2","F..2",0.21734,0.36158,0.3956
"132",4,"Protective","Low","Protective Low","2","F..3",0.15758,0.38218,0.587
"133",4,"Single","High","Single High","1","F..1",0.14706,0.30184,0.513
"134",4,"Single","High","Single High","1","F..2",0.1457,0.34676,0.57
"135",4,"Single","High","Single High","1","F..3",0.16036,0.38608,0.5838
"136",4,"Single","High","Single High","2","F..1",0.15688,0.38096,0.5872
"137",4,"Single","High","Single High","2","F..2",0.16802,0.38862,0.5648
"138",4,"Single","High","Single High","2","F..3",0.1661,0.37224,0.5484
"139",4,"Single","Low","Single Low","1","F..1",0.20148,0.3751,0.45746
"140",4,"Single","Low","Single Low","1","F..2",0.16648,0.4104,0.5582
"141",4,"Single","Low","Single Low","1","F..3",0.1748,0.4063,0.5802
"142",4,"Single","Low","Single Low","2","F..1",0.16384,0.43088,0.6196
"143",4,"Single","Low","Single Low","2","F..2",0.16246,0.38364,0.5746
"144",4,"Single","Low","Single Low","2","F..3",0.16892,0.41686,0.595
"145",5,"Control","High","Control High","1","F..1",0.13618,0.38392,0.6438
"146",5,"Control","High","Control High","1","F..2",0.13786,0.34216,0.5942
"147",5,"Control","High","Control High","1","F..3",0.15784,0.42686,0.6306
"148",5,"Control","High","Control High","2","F..1",0.16952,0.3458,0.5088
"149",5,"Control","High","Control High","2","F..2",0.15528,0.40326,0.6144
"150",5,"Control","High","Control High","2","F..3",0.16648,0.44176,0.623
