"","Timepoint","Species","Trajectory","Tank","Flow","Coral","HM","Square","Count","Dilution"
"210","TP1","AA","Single","T1","High","#3","6",5,24,10
"211","TP2","AA","Single","T1","Low","#1","1",1,20,10
"212","TP2","AA","Single","T1","Low","#1","1",2,11,10
"213","TP2","AA","Single","T1","Low","#1","1",3,16,10
"214","TP2","AA","Single","T1","Low","#1","1",4,8,10
"215","TP2","AA","Single","T1","Low","#1","1",5,13,10
"216","TP2","AA","Single","T1","Low","#1","2",1,22,10
"217","TP2","AA","Single","T1","Low","#1","2",2,12,10
"218","TP2","AA","Single","T1","Low","#1","2",3,20,10
"219","TP2","AA","Single","T1","Low","#1","2",4,14,10
"220","TP2","AA","Single","T1","Low","#1","2",5,13,10
"221","TP2","AA","Single","T1","Low","#1","3",1,13,10
"222","TP2","AA","Single","T1","Low","#1","3",2,23,10
"223","TP2","AA","Single","T1","Low","#1","3",3,13,10
"224","TP2","AA","Single","T1","Low","#1","3",4,12,10
"225","TP2","AA","Single","T1","Low","#1","3",5,13,10
"226","TP2","AA","Single","T1","Low","#1","4",1,18,10
"227","TP2","AA","Single","T1","Low","#1","4",2,17,10
"228","TP2","AA","Single","T1","Low","#1","4",3,16,10
"229","TP2","AA","Single","T1","Low","#1","4",4,18,10
"230","TP2","AA","Single","T1","Low","#1","4",5,21,10
"231","TP2","AA","Single","T1","Low","#1","5",1,13,10
"232","TP2","AA","Single","T1","Low","#1","5",2,14,10
"233","TP2","AA","Single","T1","Low","#1","5",3,19,10
"234","TP2","AA","Single","T1","Low","#1","5",4,8,10
"235","TP2","AA","Single","T1","Low","#1","5",5,13,10
"236","TP2","AA","Single","T1","Low","#1","6",1,9,10
"237","TP2","AA","Single","T1","Low","#1","6",2,8,10
"238","TP2","AA","Single","T1","Low","#1","6",3,11,10
"239","TP2","AA","Single","T1","Low","#1","6",4,12,10
"240","TP2","AA","Single","T1","Low","#1","6",5,15,10
"241","TP2","AA","Single","T1","Low","#2","1",1,10,10
"242","TP2","AA","Single","T1","Low","#2","1",2,10,10
"243","TP2","AA","Single","T1","Low","#2","1",3,14,10
"244","TP2","AA","Single","T1","Low","#2","1",4,11,10
"245","TP2","AA","Single","T1","Low","#2","1",5,7,10
"246","TP2","AA","Single","T1","Low","#2","2",1,7,10
"247","TP2","AA","Single","T1","Low","#2","2",2,13,10
"248","TP2","AA","Single","T1","Low","#2","2",3,8,10
"249","TP2","AA","Single","T1","Low","#2","2",4,11,10
"250","TP2","AA","Single","T1","Low","#2","2",5,9,10
"251","TP2","AA","Single","T1","Low","#2","3",1,3,10
"252","TP2","AA","Single","T1","Low","#2","3",2,12,10
"253","TP2","AA","Single","T1","Low","#2","3",3,9,10
"254","TP2","AA","Single","T1","Low","#2","3",4,10,10
"255","TP2","AA","Single","T1","Low","#2","3",5,7,10
"256","TP2","AA","Single","T1","Low","#2","4",1,10,10
"257","TP2","AA","Single","T1","Low","#2","4",2,11,10
"258","TP2","AA","Single","T1","Low","#2","4",3,7,10
"259","TP2","AA","Single","T1","Low","#2","4",4,10,10
"260","TP2","AA","Single","T1","Low","#2","4",5,9,10
"261","TP2","AA","Single","T1","Low","#2","5",1,8,10
"262","TP2","AA","Single","T1","Low","#2","5",2,9,10
"263","TP2","AA","Single","T1","Low","#2","5",3,9,10
"264","TP2","AA","Single","T1","Low","#2","5",4,11,10
"265","TP2","AA","Single","T1","Low","#2","5",5,14,10
"266","TP2","AA","Single","T1","Low","#2","6",1,11,10
"267","TP2","AA","Single","T1","Low","#2","6",2,11,10
"268","TP2","AA","Single","T1","Low","#2","6",3,9,10
"269","TP2","AA","Single","T1","Low","#2","6",4,12,10
"270","TP2","AA","Single","T1","Low","#2","6",5,13,10
"271","TP2","AA","Single","T1","Low","#3","1",1,8,10
"272","TP2","AA","Single","T1","Low","#3","1",2,23,10
