"","Time.point","Treatment","Tank","Flow","Coral","H_run","n","Count"
"564",2,"HT",1,"Low",1,2,3,6
"565",2,"HT",1,"Low",1,3,1,9
"566",2,"HT",1,"Low",1,3,2,3
"567",2,"HT",1,"Low",1,3,3,7
"568",2,"HT",1,"Low",1,4,1,7
"569",2,"HT",1,"Low",1,4,2,4
"570",2,"HT",1,"Low",1,4,3,5
"571",2,"HT",1,"Low",1,5,1,4
"572",2,"HT",1,"Low",1,5,2,6
"573",2,"HT",1,"Low",1,5,3,7
"574",2,"HT",1,"Low",1,6,1,6
"575",2,"HT",1,"Low",1,6,2,9
"576",2,"HT",1,"Low",1,6,3,6
"577",2,"AMB",1,"Low",3,1,1,32
"578",2,"AMB",1,"Low",3,1,2,26
"579",2,"AMB",1,"Low",3,1,3,25
"580",2,"AMB",1,"Low",3,2,1,36
"581",2,"AMB",1,"Low",3,2,2,33
"582",2,"AMB",1,"Low",3,2,3,25
"583",2,"AMB",1,"Low",3,3,1,21
"584",2,"AMB",1,"Low",3,3,2,25
"585",2,"AMB",1,"Low",3,3,3,25
"586",2,"AMB",1,"Low",3,4,1,27
"587",2,"AMB",1,"Low",3,4,2,24
"588",2,"AMB",1,"Low",3,4,3,22
"589",2,"AMB",1,"Low",3,5,1,23
"590",2,"AMB",1,"Low",3,5,2,17
"591",2,"AMB",1,"Low",3,5,3,21
"592",2,"AMB",1,"Low",3,6,1,29
"593",2,"AMB",1,"Low",3,6,2,26
"594",2,"AMB",1,"Low",3,6,3,25
"595",2,"HT",2,"High",2,1,1,4
"596",2,"HT",2,"High",2,1,2,4
"597",2,"HT",2,"High",2,1,3,8
"598",2,"HT",2,"High",2,2,1,6
"599",2,"HT",2,"High",2,2,2,5
"600",2,"HT",2,"High",2,2,3,5
"601",2,"HT",2,"High",2,3,1,3
"602",2,"HT",2,"High",2,3,2,4
"603",2,"HT",2,"High",2,3,3,9
"604",2,"HT",2,"High",2,4,1,6
"605",2,"HT",2,"High",2,4,2,6
"606",2,"HT",2,"High",2,4,3,3
