"","Day","Treatment","Tank","Date","Flow","Y_1","Y_2","Y_3"
"104",11,"AMB",2,"14.03.19","High",0.613666666666667,0.619,0.615666666666667
"105",11,"HT",1,"14.03.19","High",0.559,0.505333333333333,0.548
"106",11,"HT",2,"14.03.19","High",0.593666666666667,0.597,0.597333333333333
"107",12,"AMB",1,"15.03.19","High",0.569666666666667,0.604666666666667,0.616
"108",12,"AMB",2,"15.03.19","High",0.625,0.599333333333333,0.612
"109",12,"HT",1,"15.03.19","High",0.576666666666667,0.482666666666667,0.542333333333333
"110",12,"HT",2,"15.03.19","High",0.588666666666667,0.609666666666667,0.585666666666667
"111",13,"AMB",1,"16.03.19","High",0.595666666666667,0.605666666666667,0.602333333333333
"112",13,"AMB",2,"16.03.19","High",0.630666666666667,0.610333333333333,0.622333333333333
"113",13,"HT",1,"16.03.19","High",0.53,0.578,0.525
"114",13,"HT",2,"16.03.19","High",0.598333333333333,0.580333333333333,0.611
"115",14,"AMB",1,"17.03.19","High",0.589666666666667,0.539666666666667,0.578333333333333
"116",14,"AMB",2,"17.03.19","High",0.611333333333333,0.61,0.619
"117",14,"HT",1,"17.03.19","High",0.484,0.526666666666667,0.528666666666667
"118",14,"HT",2,"17.03.19","High",0.452,0.532666666666667,0.48
"119",15,"AMB",1,"18.03.19","High",0.582,0.606666666666667,0.601666666666667
"120",15,"AMB",2,"18.03.19","High",0.608333333333333,0.623666666666667,0.613333333333333
"121",15,"HT",1,"18.03.19","High",0.498333333333333,0.469666666666667,0.564
"122",15,"HT",2,"18.03.19","High",0.575666666666667,0.519,0.569
"123",16,"AMB",1,"19.03.19","High",0.628333333333333,0.571,0.562666666666667
"124",16,"AMB",2,"19.03.19","High",0.632666666666667,0.620333333333333,0.627666666666667
"125",16,"HT",1,"19.03.19","High",0.485,0.514333333333333,0.546666666666667
"126",16,"HT",2,"19.03.19","High",0.542333333333333,0.565333333333333,0.575
"127",17,"AMB",1,"20.03.19","High",0.588333333333333,0.569666666666667,0.604
